Deustch,English,Spanish
ich,I,Yo
sie,she,ella
das,the,el
ist,is,es
du,you,tú
nicht,not,no
die,the,el
es,es,es
und,and,y
der,the,el
wir,we,nosotros
was,was,era
zu,to,al
er,er,er
ein,a,un
in,in,en
ja,yes,"Sí,"
mir,me,yo
mit,with,con
wie,like,como
den,the,el
mich,me,yo
auf,on,el
dass,that,ese
aber,but,pero
eine,an,un
so,so,así
hat,has,tiene
hier,here,aquí
haben,have,tienen
für,for,para
sind,are,son
war,was,era
von,of,de
wenn,if,si
dich,you,tú
ihr,her,su
nein,no,nº
habe,I,Tengo
an,to,a
bin,I,Soy
noch,572486,572486
nur,only,solamente
da,da,da
dir,dir,dir
sich,themselves,ellos
einen,a,un
uns,us,nosotros
hast,have,tienen
dem,the,el
kann,can,lata
gut,good,bueno
auch,also,también
schon,already,ya
als,as,como
sein,his,su
mal,times,veces
jetzt,now,ahora
ihn,him,él
dann,then,entonces
aus,from,desde
meine,my,mi
um,at,en
im,in,en
wird,will,será
mein,my,mi
bist,are,son
doch,but,pero
alles,all,todos
weiß,white,blanco
keine,no,nº
oder,or,o
nach,to,al
s,s,s
nichts,nothing,nada
man,man,hombre
muss,must,debe
werden,294676,294676
will,will,voluntad
ihnen,them,ellos
geht,goes,va
wo,where,donde
etwas,approximately,aproximadamente
oh,oh,oh
mehr,more,más
bei,at,en
also,so,así
bitte,please,Por
immer,always,siempre
hab,I,Tengo
warum,why,¿Por
vor,before,antes
los,lot,Lote
können,can,lata
wieder,again,Nuevamente
sagen,say,diga
machen,make,hacer
danke,Thank,Gracias
sehr,very,muy
alle,all,todos
denn,because,porque
mann,man,hombre
tun,do,hacer
ihm,him,él
zum,to,al
gehen,go,ir
sehen,see,ver
vielleicht,maybe,tal
einem,a,un
wer,who,quién
ihre,their,su
diese,these,estos
euch,you,tú
einer,one,uno
komm,come,llegar
über,over,más
gibt,There,Hay
okay,okay,De
wissen,knowledge,conocimiento
deine,your,tu
müssen,must,debe
soll,is,Se
werde,I,Tendré
nie,never,nunca
wirklich,really,realmente
hey,hey,Hola
kein,no,nº
viel,a,un
weg,route,ruta
würde,would,sería
tut,tut,tut
am,on,el
des,of,de
einfach,simply,simplemente
leben,live,vivo
hatte,had,tenía
zeit,time,tiempo
weil,because,porque
willst,will,testamento
kommen,156754,Vienen
dein,your,tu
heute,today,Hoy
kommt,153845,153845
wollen,want,quiero
damit,thus,por
ganz,149683,149683
wäre,would,sería
wollte,wanted,Se
weißt,know,saber
ok,OK,OK
sicher,sure,seguro
gesagt,said,dijo
frau,woman,mujer
nun,now,ahora
bis,up,hasta
wurde,was,era
leid,suffering,sufrimiento
na,na,na
kannst,can,lata
macht,That,Eso
dieser,this,este
zurück,back,atrás
lassen,leave,salir
hallo,hello,Hola
meinen,my,mi
gott,god,dios
seine,its,es
hätte,would,tendría
zwei,two,dos
könnte,could,podría
genau,exactly,exactamente
waren,there,Había
zur,to,al
lass,let,dejar
klar,clear,claro
morgen,tomorrow,mañana
leute,people,personas
vater,father,padre
schön,beautiful,hermoso
glaube,I,Creo
mr.,mr.,Sr.
ab,from,desde
gerade,exactly,exactamente
tag,day,día
gesehen,seen,visto
reden,talk,charla
wohl,probably,probablemente
liebe,dear,Estimado
sollte,should,debería
sagte,said,dijo
unsere,our,nuestro
jemand,someone,alguien
geld,money,dinero
durch,by,por
ob,ob,ob
keinen,no,nº
mutter,mother,madre
raus,out,fuera
gemacht,made,fabricado
paar,pair,par
